뮤직복싱 등장횟수,관련명사,뮤직복싱 등장횟수,관련서술어
7851,복싱,148,죽전
2338,운동,121,검단
2204,다이어트,117,들
1487,뮤직,92,남은
947,짐,82,하면
871,킥복싱,79,좋은
695,여자,76,오세요
601,키즈,76,하러
560,남자,66,신나는
480,정통,62,멋짐
477,헬스,60,해드립니다
436,클럽,58,살빼기
410,중,58,주세요
352,풍동,57,신난다
321,맛집,57,하신
318,회원,55,하실
306,매탄,50,않고
305,관장,49,해요
302,점,49,재밌고
284,와코,49,가능합니다
252,동탄,46,하고싶으신
248,팔,45,특별히
246,광주,45,편히
242,진해,44,않으며
231,센터,42,놓치지
228,식사동,42,흘리며
227,보정동,36,다양한
223,지도,35,즐거운
217,울산,33,있다
215,파주,32,따져
209,무에타이,32,아깝지
207,머슬,32,않으실
203,수업,29,오셔서
201,일상,28,강하고
201,코,28,날씬해지려면
196,더원,28,껴라
194,장,28,지매
193,경기,28,가져가실
190,텐,28,힘든
178,크로스,27,감사합니다
176,핏,27,열려있습니다
172,개월,26,많은
170,체육관,26,좋아요
169,그룹,25,갈
162,초,25,받으세요
162,코치,24,건강한
162,선수,23,않는
159,시간,23,좋고
155,전주,23,만들어
151,카톡,21,즐겁게
150,복서,20,해서
149,맘,20,와서
149,죽전,19,했습니다
145,운정,19,쉽게
141,때,18,싶을
141,검단,18,살빠지는
140,명일동,18,즐겁습니다
139,토요일,18,한다
136,피티,17,재밌게
136,수강,17,배우고
133,수원,17,하자
133,방학,17,특별할인
133,우리,17,입니다단
132,미트,16,밴
129,어린이,16,해야
128,선산,16,되는
122,트레이닝,16,겁니다대
118,진행,16,하셨습니다
115,개인,16,하고싶다
115,마블,15,신나게
114,프로그램,15,하시면
113,전,14,마세요
111,학교,14,즐기다
109,국가,14,맞는
108,천,14,아니라
107,선,14,하겠습니다
106,등록,13,한
105,겨울,13,들의
105,촌동,13,알기에
104,프로,13,않은
104,여성,13,하게
103,멀티,13,살빼는
102,스파링,13,재미없다구
101,새해,13,준다
100,체력,13,나오기만
100,타바타,13,잘빠진다
100,챔피언,13,그만하고
99,가능,13,멋진
99,카페,13,역다어
99,오전반,13,합시다
98,니스,13,해주세요
98,후,12,하시고
97,기간,12,가볍게
97,주,12,끝나고
94,오늘,12,쓰
93,지도자,12,써
93,피닝,12,대
91,벤트,11,싶으신
91,상담,11,디짐
90,운영,11,넘치는
