발레 등장횟수,관련명사,발레 등장횟수,관련서술어
3484,발레,72,좋아요
614,무용,67,주세요
414,취미,65,감사합니다
397,학원,58,다양한
377,운동,57,보세요
340,필라테스,43,들
263,수업,43,빠른
214,복,42,아름다운
206,댄스,41,좋은
197,문,39,많은
193,팔,39,예쁜
191,상담,37,해주세요
176,일상,28,참
170,공연,27,바른
169,핏,27,아름다
153,교정,26,하실
149,스튜디오,25,했습니다
141,유아,24,아닌
140,중,24,매거진
136,다이어트,23,하고
134,요가,23,만드는
133,반,23,탄
132,입시,22,남겨주세요
132,동탄,22,자세한
129,발레리나,21,잡힌
127,스트레칭,21,않으면
121,가방,21,전화하기
116,오,21,누르시면
115,레슨,21,드립니다
114,후,20,는
114,데일리,20,좋
111,패션,20,해서
105,맘,20,되는
105,여자,20,느껴
104,가능,19,보내주시지
102,시간,19,가능합니다
100,방문,18,즐거운
99,사진,18,나를
99,전화,17,했는데
98,소통,17,하면
97,우리,17,보니
97,여성,17,넘
95,한국,16,따
94,오늘,16,챌
94,폴,16,만들어
92,교육,16,만나
91,전공,15,해요
88,초등,15,해보세요
88,현대,15,예쁘게
88,친구,15,새로운
87,셀카,15,먹
86,의류,14,없는
85,지갑,14,바랍니다
84,점,14,즐겁게
84,영상,14,하시는
84,셀피,13,않고
81,감사,13,가능한
81,종합,13,잊지
81,신발,13,건강한
80,츄,13,보내셨나요
80,진행,13,한
79,세교,13,부탁드려요
79,숲,12,특별한
79,예약,12,원하시는
78,자세,12,하겠습니다
77,스커트,12,돌아온
76,작품,12,담아
75,체형,12,입니
74,아이,11,좋아하는
74,무료,11,이쁜
72,몸,11,행복한
72,수강,11,뜨
72,체험,11,낸
71,건강,11,와
68,프로필,10,소중한
68,클래스,10,하게
67,뮤지컬,10,있고
66,나,10,되었습니다
66,레오타드,10,싶으신
65,관리,10,했어요
64,강사,10,가
64,최고,10,긴
63,에르메스,10,않은
61,내,10,펼쳐집니다
61,것,10,어떤
61,강남,9,한다
61,연습,9,끝나고
61,신청,9,보여
61,촬영,9,건강하고
60,예고,9,먹고
60,영화,9,했더니
60,연휴,9,미
60,오픈,9,될
58,티,9,입으실
58,동작,9,드릴게요
57,워머,9,마세요
57,센터,9,알려
57,발표,9,팜
57,분당,9,커진
56,줄,9,말아야
