PT 등장횟수,관련명사,PT 등장횟수,관련서술어,PT 등장횟수,관련명사,PT 등장횟수,관련서술어,검도 등장횟수,관련명사,검도 등장횟수,관련서술어,기구필라테스 등장횟수,관련명사,기구필라테스 등장횟수,관련서술어,다빈치바디보드 등장횟수,관련명사,다빈치바디보드 등장횟수,관련서술어,드럼스틱 등장횟수,관련명사,드럼스틱 등장횟수,관련서술어,등산 등장횟수,관련명사,등산 등장횟수,관련서술어,라틴댄스 등장횟수,관련명사,라틴댄스 등장횟수,관련서술어,매트필라테스 등장횟수,관련명사,매트필라테스 등장횟수,관련서술어,뮤직복싱 등장횟수,관련명사,뮤직복싱 등장횟수,관련서술어,바차타 등장횟수,관련명사,바차타 등장횟수,관련서술어,발레 등장횟수,관련명사,발레 등장횟수,관련서술어,발레핏 등장횟수,관련명사,발레핏 등장횟수,관련서술어,방송댄스 등장횟수,관련명사,방송댄스 등장횟수,관련서술어,번지댄스 등장횟수,관련명사,번지댄스 등장횟수,관련서술어,번지요가 등장횟수,관련명사,번지요가 등장횟수,관련서술어,번지피트니스 등장횟수,관련명사,번지피트니스 등장횟수,관련서술어,복싱 등장횟수,관련명사,복싱 등장횟수,관련서술어,볼링 등장횟수,관련명사,볼링 등장횟수,관련서술어,빈야사 등장횟수,관련명사,빈야사 등장횟수,관련서술어,사이클 등장횟수,관련명사,사이클 등장횟수,관련서술어,살사 등장횟수,관련명사,살사 등장횟수,관련서술어,서핑 등장횟수,관련명사,서핑 등장횟수,관련서술어,소도구필라테스 등장횟수,관련명사,소도구필라테스 등장횟수,관련서술어,수상스키 등장횟수,관련명사,수상스키 등장횟수,관련서술어,수영 등장횟수,관련명사,수영 등장횟수,관련서술어,스피닝 등장횟수,관련명사,스피닝 등장횟수,관련서술어,아쉬탕가 등장횟수,관련명사,아쉬탕가 등장횟수,관련서술어,아쿠아로빅 등장횟수,관련명사,아쿠아로빅 등장횟수,관련서술어,아쿠아바이크 등장횟수,관련명사,아쿠아바이크 등장횟수,관련서술어,아쿠아테크 등장횟수,관련명사,아쿠아테크 등장횟수,관련서술어,암벽등반 등장횟수,관련명사,암벽등반 등장횟수,관련서술어,에어로빅 등장횟수,관련명사,에어로빅 등장횟수,관련서술어,에이리얼후프 등장횟수,관련명사,에이리얼후프 등장횟수,관련서술어,요가 등장횟수,관련명사,요가 등장횟수,관련서술어,요가쿠아 등장횟수,관련명사,요가쿠아 등장횟수,관련서술어,인요가 등장횟수,관련명사,인요가 등장횟수,관련서술어,자이로토닉 등장횟수,관련명사,자이로토닉 등장횟수,관련서술어,재즈댄스 등장횟수,관련명사,재즈댄스 등장횟수,관련서술어,점핑피트니스 등장횟수,관련명사,점핑피트니스 등장횟수,관련서술어,조깅 등장횟수,관련명사,조깅 등장횟수,관련서술어,주짓수 등장횟수,관련명사,주짓수 등장횟수,관련서술어,줌바 등장횟수,관련명사,줌바 등장횟수,관련서술어,크로스핏 등장횟수,관련명사,크로스핏 등장횟수,관련서술어,키네시스 등장횟수,관련명사,키네시스 등장횟수,관련서술어,타바타 등장횟수,관련명사,타바타 등장횟수,관련서술어,탱고 등장횟수,관련명사,탱고 등장횟수,관련서술어,트램폴린 등장횟수,관련명사,트램폴린 등장횟수,관련서술어,파운드핏 등장횟수,관련명사,파운드핏 등장횟수,관련서술어,패들보드 등장횟수,관련명사,패들보드 등장횟수,관련서술어,패들핏 등장횟수,관련명사,패들핏 등장횟수,관련서술어,펜싱 등장횟수,관련명사,펜싱 등장횟수,관련서술어,폴댄스 등장횟수,관련명사,폴댄스 등장횟수,관련서술어,플라잉 등장횟수,관련명사,플라잉 등장횟수,관련서술어,플라잉요가 등장횟수,관련명사,플라잉요가 등장횟수,관련서술어,플라잉필라테스 등장횟수,관련명사,플라잉필라테스 등장횟수,관련서술어,필라테스 등장횟수,관련명사,필라테스 등장횟수,관련서술어,필록싱 등장횟수,관련명사,필록싱 등장횟수,관련서술어,하타요가 등장횟수,관련명사,하타요가 등장횟수,관련서술어,핫요가 등장횟수,관련명사,핫요가 등장횟수,관련서술어,헬스 등장횟수,관련명사,헬스 등장횟수,관련서술어,힙레 등장횟수,관련명사,힙레 등장횟수,관련서술어
263,운동,13,많은,263,운동,13,많은,2051,검도,75,좋아요,4581,필라테스,107,들,2875,필라테스,113,다양한,2381,드럼,74,좋은,1029,등산,70,좋아요,3275,살사,108,배우기,4612,필라테스,94,들,7851,복싱,148,죽전,3096,살사,99,배우기,3484,발레,72,좋아요,4864,발레,105,좋아요,4520,댄스,91,와와,9140,번지,287,피지오,5139,번지,108,피지오,4697,번지,298,피지오,4275,복싱,61,좋아요,3208,볼링,365,볼러,3974,요가,349,아쉬,1065,운동,127,타는,3195,살사,90,배우기,2396,서핑,57,배우기,5112,필라테스,391,메디,1206,수상스키,277,빠지,1339,수영,58,좋아요,2330,피닝,159,좋아요,3716,요가,1204,아쉬,1435,아쿠아로,104,좋아요,607,아쿠아,10,좋은,141,아쿠아,7,건강한,1583,클라이밍,1328,클라,1597,댄스,96,하러,142,후프,12,잼있다,1601,요가,95,좋아요,528,운동,487,썹,4749,요가,385,아쉬,3594,필라테스,1141,자이로,4723,댄스,121,나를,5745,점핑,249,허,976,조깅,61,좋아요,3256,짓,73,좋아요,1059,바,52,좋아요,2006,핏,49,좋아요,1389,키네시스,147,자이로,2558,운동,75,필록,2344,탱고,71,좋은,1238,폴린,77,신나게,1189,파운드,310,필록,1842,보드,131,썹,27,패들,6,썹,2603,펜싱,66,좋은,3744,폴,73,좋아요,2833,요가,109,하시,3336,요가,98,좋아요,1905,플라잉,171,다양한,19,필라테스,3,하게,2636,록,1609,필록,4225,요가,327,아쉬,2772,요가,238,좋아요,1306,운동,110,좋아요,747,힙,76,열리는
164,헬스,13,좋아요,164,헬스,13,좋아요,596,운동,68,좋은,1487,운동,89,좋은,1773,바디,101,감사합니다,1815,스틱,66,쳐,398,산,65,좋은,2918,댄스,70,해주세요,1128,운동,64,좋은,2338,운동,121,검단,2386,바차타,84,따,614,무용,65,감사합니다,1394,필라테스,102,예쁜,1165,학원,85,챌,3186,잠실,281,빈야사,3509,요가,95,아쉬,1723,필라테스,183,지피지오,1654,운동,41,배울수,599,볼링장,274,좋아요,851,야사,185,빈야사,1026,사이클,74,가,1964,바차타,79,따,527,여행,53,좋아요,1378,운동,88,다양한,612,웨이크,228,크,402,운동,42,가,1740,운동,81,들,1180,일산,104,따뜻한,1387,빅,103,하면,395,바이크,7,나를,66,운동,5,사는,917,운동,588,클,1594,에어로빅,71,좋아요,131,이리얼,8,날라,893,운동,91,좋은,478,요가,105,많은,1366,인요,138,좋은,2710,자이로,94,새로운,1444,재즈,117,싶다면,2384,운동,104,들,877,운동,52,가,2607,주,50,좋은,820,줌,49,들,1912,크로스,37,좋은,775,필라테스,86,좋아요,1438,다이어트,64,건강한,578,댄스,69,배우기,1228,트램,67,좋은,1132,운동,68,아름다운,1595,패들,73,친절한,14,핏,4,감사합니다,480,클럽,57,좋아요,2358,댄스,44,좋은,2579,플라잉,100,크,1835,플라잉,96,들,1774,필라테스,153,배워,15,기부,2,좋아요,2463,싱,63,좋은,1195,타요,98,따뜻한,1209,핫요가,202,아쉬,953,헬스,107,챌,710,발레,46,자세한
102,다이어트,12,들,102,다이어트,12,들,522,검,49,즐거운,1103,기구,74,좋아요,1372,운동,96,아름다,419,기타,66,많은,297,여행,58,커,1985,라틴,68,보니,770,매트,60,크,2204,다이어트,117,들,1642,댄스,80,보니,414,취미,58,다양한,1234,핏,96,해주세요,1130,방송,85,다양한,2269,요가,261,지피지오,1491,플라이,88,미,1597,운동,90,들,1175,다이어트,39,들,413,팔,144,있을,488,필라테스,87,좋은,1005,자전거,69,좋아요,1565,댄스,76,보니,495,서프,47,좋은,842,요가,82,들,595,스키,94,좋아요,197,부산,35,해서,1042,헬스,64,하면,803,탕가,79,좋은,1094,운동,81,빌리,182,운동,6,타는,57,바이크,5,먹는,700,암벽등반,41,좋아요,1409,운동,57,눌러주세요,116,요가,7,어지럽다,592,필라테스,66,아쉬,310,패들,20,웃자,624,수련,116,한,2248,토닉,60,좋은,1155,폴,78,다양한,1276,니스,97,싶다면,529,러닝,48,뛰,1075,운동,35,즐겁게,805,운동,31,챌,1577,운동,35,해서,721,운동,66,좋은,1210,타바타,60,들,334,공연,64,들,603,운동,44,먹고,1127,핏,66,좋은,1052,서핑,66,좋아,10,서핑,3,좋은,410,운동,53,배우기,1245,운동,39,예쁜,1083,필라테스,80,미,1274,필라테스,66,좋은,1418,요가,85,새로운,10,운동,2,들께,1294,운동,45,들,1108,일산,71,좋은,1073,필라테스,73,다양한,336,다이어트,54,좋은,478,운동,42,이어
83,필라테스,9,해서,83,필라테스,9,해서,451,도관,45,감사합니다,454,다이어트,68,많은,1287,보드,95,치를,288,드러머,61,크,285,운동,35,미치다,1910,바차타,66,해보아요,669,요가,52,해서,1487,뮤직,92,남은,1297,라틴,52,센,397,학원,57,보세요,909,운동,81,아름다,538,반,80,좋아요,1879,플라이,192,짜는,1357,운동,72,좋은,1574,피지,74,드리겠습니다,473,체육관,33,많은,343,티셔츠,75,털어치기,481,운동,56,들,527,로드,53,출,1204,라틴,45,좋아요,490,보드,40,따,755,소도구,72,많은,573,보드,77,좋은,187,수영복,28,하면,521,다이어트,60,먹고,765,수련,68,한,940,수영,67,들,106,스포츠,6,하며,43,테크,5,아는,451,볼더링,39,챌,852,다이어트,51,좋은,59,운동,4,미,349,헬스,49,두고,310,보드,13,좋은,581,수업,105,함께요,1127,운동,48,많은,1075,무용,70,꿈꾸는,1203,피트,97,빼고,424,다이어트,48,좋은,414,팀,30,하면,560,헬스,28,좋은,489,헬스,32,크,705,자이로,60,건강한,835,복싱,50,한,287,아르헨티나,55,많은,438,맘,43,들,761,니스,51,들,657,여행,50,유일하게,8,요가,2,웃으,311,스포츠,35,주는,350,여자,38,들,872,운동,73,좋은,1103,운동,49,다양한,700,운동,85,어떻게,6,다이어트,1,달라진,1042,필,34,넘,752,수련,64,감사합니다,750,운동,69,소소한,270,팔,53,좋,464,포레스티,40,바꿀
64,니스,9,좋은,64,니스,9,좋은,232,동검,39,검단,398,요가,63,건강한,1262,다빈치,95,담다,267,악기,42,좋아요,227,산행,25,좋,859,동호회,63,즐겁게,400,레슨,51,해주세요,947,짐,82,하면,865,동호회,47,들,377,운동,43,들,478,취미,68,만드는,489,취미,56,걸리,1869,니스,155,가더,1242,필라테스,49,한,1390,니스,70,어려울,470,킥복싱,32,좋,271,클럽,68,하면,472,수련,56,좋아요,495,딩,52,준다,804,동호회,37,들,381,발리,34,꾸,422,수업,69,건강한,443,서핑,65,그램데,166,팔,28,했는데,499,팔,58,좋은,587,필라테스,63,들,674,헬스,59,좋은,100,수중,6,들,40,수중,5,좋은,410,암벽,39,져,681,헬스,48,갑니다,27,폴,4,하겠습니다,298,다이어트,45,들,228,서프,13,되는,571,동요,93,많은,487,키네시스,47,들,816,취미,67,우아한,1071,다이어트,94,싶지만,355,마라톤,46,헐,384,다이어트,27,노기,357,댄스,28,감사합니다,414,다이어트,30,섹시한,497,메이플,40,움직이는,683,댄스,46,다양한,266,여행,42,푸,435,점핑,43,좋아요,715,피트,50,된다,463,제주,46,즐길수,7,운동,1,하지요,251,선수,29,감사합니다,244,프로필,36,넘,355,번지,67,들,319,헬스,48,감사합니다,467,해먹,82,낮은,6,후드,1,들고,724,믹스,28,감사합니다,528,백석,62,되는,630,다이어트,58,들,263,필라테스,47,하면,452,벌,38,되는
54,여자,8,몰,54,여자,8,몰,195,학교,38,많은,349,레슨,52,해서,629,요가,94,더하다,218,팔,39,크로,194,겨울,25,해서,751,홍대,57,따,330,기구,47,하며,871,킥복싱,79,좋은,630,홍대,38,좋아요,340,필라테스,43,빠른,476,수업,68,전화하기,411,키즈,42,많은,1862,운동,145,아쉬,927,플라잉,45,들,1377,피트,63,남겨주시면,366,여자,32,하면,265,프로,64,해주세요,467,동요,45,많은,383,바이크,51,만나,646,홍대,34,센,262,송정,30,한,416,레슨,60,높은,383,수상,64,멋져요,161,여행,27,입고,435,니스,55,해서,581,백석,60,많은,577,할인,58,해서,60,나,6,신나게,37,스포츠,4,보니,363,실내,24,해서,628,바,37,쥔,27,취미,4,성공해야,207,수업,42,다양한,206,오션,12,즐길,493,것,91,하며,449,교정,44,보세요,682,학원,66,자라면,686,점프,88,신나는,221,아침,41,먹고,316,본주,26,감사합니다,293,니스,27,죽전,287,남자,29,챌,383,사료,40,들,599,헬스,46,하면,248,땅,38,즐거운,336,육아,42,가볼만,699,바,39,즐거운,463,리조트,39,편안한,6,보드,1,보내고,230,레슨,28,하면,224,다이어트,33,나를,293,다이어트,59,좋아요,308,수업,46,아쉬,334,동작,78,배우고,6,수익금,1,찾아올게요,668,필라테스,27,좋아요,438,필라테스,57,하지,458,플라잉,58,보내,212,니스,46,들,420,꼬끄,37,다양한
53,짐,8,하면,53,짐,8,하면,180,팔,34,좋,316,회원,49,크,592,부산,86,좋은,182,연습,31,그립,193,백,24,좋다,575,취미,54,꾸준히,298,수업,47,않도록,695,여자,76,하러,543,취미,38,미치리,263,수업,42,아름다운,442,무용,68,누르시면,397,힙합,41,와,1827,피트,143,희,734,니스,45,알려,1235,오,62,센,324,남자,31,다양한,224,일상,57,알려,452,수업,44,한,338,라이,47,보실,523,취미,34,좋은,244,강습,29,감사합니다,389,메디,59,좋은,372,펜션,64,이뻐요,151,수영장,27,좋,355,짐,53,먹,435,운동,56,하지,482,주민,57,썬,57,수영,4,쉽게,36,수영,4,들,344,등,21,따뜻한,603,복,37,즐거운,20,여자,4,행복해야,201,샵,41,건강한,170,한강,11,돼,483,시간,90,따뜻한,397,재활,43,건강한,674,발레,66,우아하다,403,강사,80,좋은,208,런닝,38,좋다,289,동주,25,좋,232,다이어트,21,좋습니다,271,여자,28,싶은,375,토닉,36,크,594,요가,42,좋은,185,밀롱가,37,한,282,키즈,41,해서,569,록,35,신나게,410,제주도,39,입고,6,아쿠아,1,잊지,152,스킬,23,하는인의,221,선수,32,감사합니다,286,니스,52,만나는,297,다이어트,40,해서,276,수업,78,먹은,5,바디,1,재밌어,627,다이어트,26,되는,377,시간,55,들,401,아메리카,56,드리고,197,여자,39,많은,405,르,36,한
39,피티,8,깨우기,39,피티,8,깨우기,174,초등,29,검도단,298,헬스,45,다양한,561,퀸,72,자이로,159,광명,30,감사합니다,184,사진,24,한,439,여행,49,맞춰서,296,강사,46,건강한,601,키즈,66,신나는,359,여행,33,좋아하고,214,복,41,좋은,416,레슨,66,자세한,358,무용,39,들,1658,댄스,94,미,716,피트,42,새로운,645,요가,61,짜는,323,권투,28,좋은,221,티,51,본,388,강사,44,감사합니다,246,덕,37,디져,403,여행,31,많은,228,파도,27,미치다,385,기구,58,따라,357,운동,63,져,132,태연,26,한,325,필라테스,46,많은,375,수업,49,되는,420,스포츠센터,45,감사합니다,52,강사,4,않아요,34,수영장,3,챙겨,269,라임,20,좋은,579,줌,35,들,19,댄스,3,해서,198,여자,39,젊,153,패,11,해서,446,과정,80,감사합니다,369,강사,42,자세한,528,운동,65,할수있습니다,402,수업,78,새로운,181,오늘,37,뜀,274,킥복싱,23,클,231,필라테스,21,건강한,172,역도,23,한다,338,팀,35,해서,528,핏,40,많은,179,취미,36,멋진,276,헬스,40,많은,568,줌,33,신나고,404,스쿠버,36,커,4,시간,1,않으시는,144,대표,18,되는,220,대회,31,필리,246,수업,48,피지오,256,강사,33,많은,273,샵,76,봤다,5,구미,1,좋아,608,광주,25,먹고,372,수업,55,하게,391,증가,48,좋은,181,남자,34,크,369,시티,28,와
36,피트,8,크,36,피트,8,크,172,대한검도회,27,하면,281,점,45,해주세요,548,헬스,66,많은,142,비트,29,해서,172,눈,22,하면,429,수업,44,들,265,소도구,46,아쉬,560,남자,62,멋짐,336,수업,26,댄,206,댄스,39,많은,413,상담,61,들,340,커버,38,먹,1343,필라테스,71,드세요,592,잠실,42,해보세요,489,스튜디오,54,미,260,울산,27,아니야,220,키,49,커,356,레슨,43,해주세요,223,수영,35,좋은,377,수업,31,감사합니다,218,카페,26,팜,371,다이어트,58,아쉬,297,팔,62,그램오오,126,일상,26,좋은,297,강사,45,필리,349,맘,48,감사합니다,407,학생,37,많은,48,수영장,4,즐기는,27,물,3,해주세요,204,남자,20,하면,352,방송,31,춤추는,19,플라잉,3,연결하는게,192,팔,36,해왔습니다,129,힐링,10,들,421,지도자,74,되는,350,레슨,42,감사합니다,501,반,60,갑니다,359,시분,74,없음,179,일상,37,먹,236,격투기,22,들,157,피트,20,하겠습니다,165,복싱,22,한,322,닥터,34,넘,486,구미,34,되는,161,춤,30,해서,263,다이어트,38,트니,554,싱,33,되는,372,운동,35,가볼만,4,감사,1,나눠주셔서,132,국가,17,많은,216,수업,31,자세한,227,동요,46,감사합니다,245,여자,30,먹고,263,근력,76,빼고,5,회원,1,이뻐,607,경기,23,하면,359,맘,53,빈야사,381,동요,44,빈야사,168,바디,28,해서,334,핏,27,들으며
35,팔,7,먹고,35,팔,7,먹고,135,체육,27,단련,275,수업,45,메디,537,고투,66,부산해운,137,선물,28,입고,170,패킹,21,먹,423,운동,42,해서,261,그룹,45,하다,480,정통,58,살빼기,316,강습,24,해서,193,팔,39,예쁜,409,학원,46,좋은,322,춤,38,즐겁게,1240,피지,70,들,555,교육,42,어떤,487,플라잉,50,챌,257,주,25,하는거야,210,볼러,48,되며,266,탕가,40,하며,223,인종,35,보세요,307,강습,30,즐거운,176,캠프,24,많은,350,강사,55,의한,271,키,55,하지,120,소녀,25,미단,288,여자,39,건강한,317,시간,47,해서,403,수영장,33,먹고,43,물,4,넘,26,밸리,3,나왔어요,164,여자,20,다르던데,333,신혼,30,잼있는,16,스카이,3,부족했나,190,일상,33,해서,121,수영장,9,즐기는,409,몸,68,한다,307,트레이닝,41,받으세요,494,직장,60,특별한,322,파티,68,신나게,175,팔,37,뛰고,221,도복,22,하겠습니다,150,수업,20,많은,158,오늘,22,와,317,샵,33,얼라인,462,짐,33,감사합니다,136,수업,29,새로운,243,카페,37,가,414,댄스,33,감사합니다,354,샵,35,써,3,패,1,즐기세요,128,체육,15,함께하세요,216,취미,30,해서,225,여자,43,믿고,207,번지,30,보내셨나요,250,시간,76,되는지,4,일상,1,버렸,545,바레,20,열릴,351,것,51,한다,366,팔,43,많은,162,짐,25,먹,325,니스,26,신나는
